"id","publication_year","first_author","display_name","Label"
"https://openalex.org/W2912023684","2019","Katharine Gelber","Differentiating hate speech: a systemic discrimination approach","Gelber, 2019"
"https://openalex.org/W2945922253","2019","J. Woodford Howard","Free Speech and Hate Speech","Howard, 2019"
"https://openalex.org/W2978527163","1982","Margaret Jane Radin","Property and Personhood","Radin, 1982"
"https://openalex.org/W2989863638","1958","H. L. A. Hart","Positivism and the Separation of Law and Morals","Hart, 1958"
"https://openalex.org/W3023063752","1972","Guido Calabresi","Property Rules, Liability Rules, and Inalienability: One View of the Cathedral","Calabresi, 1972"
"https://openalex.org/W3023778025","2020","Kenneth Einar Himma","Coercion and the Nature of Law","Himma, 2020"
"https://openalex.org/W3081207992","2017","Alexander M. Bickel","The Least Dangerous Branch","Bickel, 2017"
"https://openalex.org/W3121169026","2010","Mehrdad Payandeh","The Concept of International Law in the Jurisprudence of H.L.A. Hart","Payandeh, 2010"
"https://openalex.org/W3121512706","2007","Michael Pratt","Promises, Contracts and Voluntary Obligations","Pratt, 2007"
"https://openalex.org/W3121531415","2008","Mitchell N. Berman","Punishment and Justification","Berman, 2008"
"https://openalex.org/W3121839468","1996","A. John Simmons","Associative Political Obligations","Simmons, 1996"
"https://openalex.org/W3121890212","2007","Michael S. Pardo","Juridical Proof and the Best Explanation","Pardo, 2007"
"https://openalex.org/W3121930290","2005","Colleen Murphy","Lon Fuller and the Moral Value of the Rule of Law","Murphy, 2005"
"https://openalex.org/W3121990328","2008","Mike Redmayne","EXPLORING THE PROOF PARADOXES","Redmayne, 2008"
"https://openalex.org/W3122031927","2010","Moshe Cohen-Eliya","American balancing and German proportionality: The historical origins","Eliya, 2010"
"https://openalex.org/W3122136899","2004","Joseph Raz","INCORPORATION BY LAW","Raz, 2004"
"https://openalex.org/W3122247257","2001","Stephen Gardbaum","The New Commonwealth Model of Constitutionalism","Gardbaum, 2001"
"https://openalex.org/W3122357978","2018","Michael S. Pardo","SAFETY VS. SENSITIVITY: POSSIBLE WORLDS AND THE LAW OF EVIDENCE","Pardo, 2018"
"https://openalex.org/W3122365267","2011","Brian Leiter","The Demarcation Problem in Jurisprudence: A New Case for Scepticism","Leiter, 2011"
"https://openalex.org/W3122410589","2005","John F. Trout","Paternalism and Cognitive Bias","Trout, 2005"
"https://openalex.org/W3122417052","2010","Grégoire Webber","Proportionality, Balancing, and the Cult of Constitutional Rights Scholarship","Webber, 2010"
"https://openalex.org/W3122468307","2014","Larry Alexander","The Ontology of Consent","Alexander, 2014"
"https://openalex.org/W3122589931","2004","Mark T. Greenberg","HOW FACTS MAKE LAW","Greenberg, 2004"
"https://openalex.org/W3122624017","2004","Arthur Ripstein","Authority and Coercion","Ripstein, 2004"
"https://openalex.org/W3122631380","2000","Elizabeth Anderson","Expressive Theories of Law: A General Restatement","Anderson, 2000"
"https://openalex.org/W3122854567","2006","Arthur Ripstein","Beyond the Harm Principle","Ripstein, 2006"
"https://openalex.org/W3122931570","2008","John Oberdiek","Towards a Right Against Risking","Oberdiek, 2008"
"https://openalex.org/W3122943504","1982","Paul H. Robinson","Criminal Law Defenses: A Systematic Analysis","Robinson, 1982"
"https://openalex.org/W3122980423","2009","Joseph Raz","The Problem of Authority: Revisiting the Service Conception","Raz, 2009"
"https://openalex.org/W3122983803","2005","Mattias Kumm","The Jurisprudence of Constitutional Conflict: Constitutional Supremacy in Europe before and after the Constitutional Treaty","Kumm, 2005"
"https://openalex.org/W3123212178","1986","Ronald Dworkin","Law's Empire","Dworkin, 1986"
"https://openalex.org/W3123542286","2006","David Enoch","The Case Against Moral Luck","Enoch, 2006"
"https://openalex.org/W3123575465","2008","Malcolm Thorburn","Justifications, Powers, and Authority","Thorburn, 2008"
"https://openalex.org/W3123578711","2003","Gunther Teubner","Legal Irritants: Good Faith in British Law or How Unifying Law Ends Up in New Divergencies","Teubner, 2003"
"https://openalex.org/W3123600108","2005","Kevin Toh","HART'S EXPRESSIVISM AND HIS BENTHAMITE PROJECT","Toh, 2005"
"https://openalex.org/W3123624702","2005","Kimberly Kessler Ferzan","Justifying Self-Defense","Ferzan, 2005"
"https://openalex.org/W3124236532","2016","Gregg D. Caruso","Free Will Skepticism and Criminal Behavior","Caruso, 2016"
"https://openalex.org/W3124392593","2005","Simon Roberts","After Government? On Representing Law Without the State","Roberts, 2005"
"https://openalex.org/W3124411835","2001","Ronald J. Allen","Naturalized Epistemology and the Law of Evidence","Allen, 2001"
"https://openalex.org/W3124454284","1997","Alexander Volokh","n Guilty Men","Volokh, 1997"
"https://openalex.org/W3124573500","2002","Neil Walker","The Idea of Constitutional Pluralism","Walker, 2002"
"https://openalex.org/W3124588059","2007","Alexander A. Guerrero","Don’t Know, Don’t Kill: Moral Ignorance, Culpability, and Caution","Guerrero, 2007"
"https://openalex.org/W3124856616","2001","Markus D. Dubber","Policing Possession: The War on Crime and the End of Criminal Law","Dubber, 2001"
"https://openalex.org/W3124949875","2006","Andrei Marmor","Legal Positivism: Still Descriptive and Morally Neutral","Marmor, 2006"
"https://openalex.org/W3125305558","2000","Seana Valentine Shiffrin","Paternalism, Unconscionability Doctrine, and Accommodation","Shiffrin, 2000"
"https://openalex.org/W3125380225","2003","Brian Leiter","Beyond the Hart/Dworkin Debate: The Methodology Problem in Jurisprudence","Leiter, 2003"
"https://openalex.org/W3125598080","2005","Frederick Schauer","The Social Construction of the Concept of Law: A Reply to Julie Dickson","Schauer, 2005"
"https://openalex.org/W3125637819","1987","Lawrence B. Solum","On the Indeterminacy Crisis: Critiquing Critical Dogma","Solum, 1987"
"https://openalex.org/W3125759286","2002","Stephen J. Morse","Uncontrollable Urges and Irrational People","Morse, 2002"
"https://openalex.org/W3125830443","2001","William J. Stuntz","The Pathological Politics of Criminal Law","Stuntz, 2001"
"https://openalex.org/W3125839842","1999","A. John Simmons","Justification and Legitimacy","Simmons, 1999"
"https://openalex.org/W3145343791","2009","Benedict Kingsbury","The Concept of 'Law' in Global Administrative Law","Kingsbury, 2009"
"https://openalex.org/W3155306005","2007","Mark A. Drumbl","Atrocity, Punishment, and International Law","Drumbl, 2007"
"https://openalex.org/W3160849725","2008","Christopher Bennett","The Apology Ritual","Bennett, 2008"
"https://openalex.org/W3188813614","2007","Christopher Kutz","Causeless complicity","Kutz, 2007"
"https://openalex.org/W3197242048","2004","Julie Dickson","METHODOLOGY IN JURISPRUDENCE: A Critical Survey","Dickson, 2004"
"https://openalex.org/W3216089140","2006","Mark C. Murphy","Natural Law in Jurisprudence and Politics","Murphy, 2006"
"https://openalex.org/W374469591","2001","Andrei Marmor","Positive Law and Objective Values","Marmor, 2001"
"https://openalex.org/W37731837","1999","Charles Larmore","The Moral Basis of Political Liberalism","Larmore, 1999"
"https://openalex.org/W4205319615","1999","Philip Pettit","Republicanism","Pettit, 1999"
"https://openalex.org/W4205375815","2005","Alex Stein","Foundations of Evidence Law","Stein, 2005"
"https://openalex.org/W4205462847","2009","Arthur Ripstein","Force and Freedom","Ripstein, 2009"
"https://openalex.org/W4205848940","2002","Anna Elisabetta Galeotti","Toleration as Recognition","Galeotti, 2002"
"https://openalex.org/W4206399531","2010","Nico Krisch","Beyond Constitutionalism","Krisch, 2010"
"https://openalex.org/W4210969292","2002","Jeremy Waldron","God, Locke, and Equality","Waldron, 2002"
"https://openalex.org/W4211159393","2004","Jon Elster","Closing the Books","Elster, 2004"
"https://openalex.org/W4212786638","2008","Thomas Christiano","The Constitution of Equality","Christiano, 2008"
"https://openalex.org/W4212818722","2002","David A. Ross","The Right and the Good","Ross, 2002"
"https://openalex.org/W4212930981","2007","Christopher L. Eisgruber","Religious Freedom and the Constitution","Eisgruber, 2007"
"https://openalex.org/W4230145277","1987","George Sher","Desert","Sher, 1987"
"https://openalex.org/W4230281441","2012","Jeremy Waldron","The Harm in Hate Speech","Waldron, 2012"
"https://openalex.org/W4230723318","2005","George Klosko","Political Obligations","Klosko, 2005"
"https://openalex.org/W4230729752","1999","Neil MacCormick","Questioning Sovereignty","Cormick, 1999"
"https://openalex.org/W4231092269","1980","Joel Feinberg","Rights, Justice, and the Bounds of Liberty","Feinberg, 1980"
"https://openalex.org/W4231383638","1989","Aleksander Peczenik","On Law and Reason","Peczenik, 1989"
"https://openalex.org/W4231732579","1986","Kent Greenawalt","Distinguishing Justifications from Excuses","Greenawalt, 1986"
"https://openalex.org/W4232037086","1997","John Rawls","The Idea of Public Reason Revisited","Rawls, 1997"
"https://openalex.org/W4232486214","2012","Kimberley Brownlee","Conscience and Conviction","Brownlee, 2012"
"https://openalex.org/W4232741853","1936","L. L. Fuller","The Reliance Interest in Contract Damages: 1","Fuller, 1936"
"https://openalex.org/W4232984104","1985","Richard W. Wright","Causation in Tort Law","Wright, 1985"
"https://openalex.org/W4233237171","2012","HLA Hart","The Concept of Law","Hart, 2012"
"https://openalex.org/W4233400003","2014","Andrew Ashworth","Preventive Justice","Ashworth, 2014"
"https://openalex.org/W4233546382","1994","Suzanne Uniacke","Permissible Killing","Uniacke, 1994"
"https://openalex.org/W4233886633","2008","Michael J. Zimmerman","Living with Uncertainty","Zimmerman, 2008"
"https://openalex.org/W4234673375","2005","Christopher Heath Wellman","Is There a Duty to Obey the Law?","Wellman, 2005"
