"","item","position","id","name","X"
"23","https://openalex.org/W3194854639","first","https://openalex.org/A2062048554","Edison Villa HolguÌn",NA
"24","https://openalex.org/W2937665400","first","https://openalex.org/A2937232405","Marino Baracaldo",NA
"25","https://openalex.org/W2937665400","last","https://openalex.org/A2935969784","Paula Daniela",NA
"26","https://openalex.org/W3193886709","first","https://openalex.org/A3193693660","Valeria Santis VellojÌn",NA
"27","https://openalex.org/W3193886709","last","https://openalex.org/A3165544595","Clara MarÌa Mira Gonz·lez",NA
"28","https://openalex.org/W3193788114","first","https://openalex.org/A2143671311","AndrÈs Felipe Roncancio Bedoya",NA
"29","https://openalex.org/W3193788114","middle","https://openalex.org/A3194897913","Santiago Colorado Villa",NA
"30","https://openalex.org/W3193788114","last","https://openalex.org/A3188801819","John Fernando Restrepo Tamayo",NA
"31","https://openalex.org/W3193513811","first","https://openalex.org/A3194597137","Sandra Milena Munoz Canas",NA
"32","https://openalex.org/W3193729848","first","https://openalex.org/A3194179474","William Felipe Angulo Bechara",NA
"33","https://openalex.org/W3193862880","first","https://openalex.org/A3193927211","Juan Camilo Parra Restrepo",NA
"34","https://openalex.org/W3194751902","first","https://openalex.org/A3195108563","Lisandro AndrÈs C·rdenas Carrero",NA
"35","https://openalex.org/W3194751902","last","https://openalex.org/A3010301644","JosÈ Alonso Andrade Salazar",NA
"36","https://openalex.org/W3195356025","first","https://openalex.org/A3195011126","Gustavo Adolfo Beltran Valencia",NA
