"","Source","Target","weight"
"168","https://openalex.org/A2106920839","https://openalex.org/A2498835007",4
"169","https://openalex.org/A2106920839","https://openalex.org/A2651538346",4
"170","https://openalex.org/A2106920839","https://openalex.org/A3024438825",4
"171","https://openalex.org/A2106920839","https://openalex.org/A308024061",4
"172","https://openalex.org/A2106920839","https://openalex.org/A3213035173",4
"173","https://openalex.org/A2112765159","https://openalex.org/A2135866016",4
"174","https://openalex.org/A2112765159","https://openalex.org/A2159313564",4
"175","https://openalex.org/A2122125958","https://openalex.org/A2156806390",4
"176","https://openalex.org/A2132342474","https://openalex.org/A2954916802",4
"177","https://openalex.org/A2133191819","https://openalex.org/A2144800361",4
"178","https://openalex.org/A2133191819","https://openalex.org/A2479126898",4
"179","https://openalex.org/A2133191819","https://openalex.org/A2498835007",4
"180","https://openalex.org/A2133191819","https://openalex.org/A2651538346",4
"181","https://openalex.org/A2133191819","https://openalex.org/A3024438825",4
"182","https://openalex.org/A2133191819","https://openalex.org/A308024061",4
"183","https://openalex.org/A2133191819","https://openalex.org/A3213035173",4
"184","https://openalex.org/A2135174412","https://openalex.org/A2167763661",4
"185","https://openalex.org/A2135866016","https://openalex.org/A2159313564",4
"186","https://openalex.org/A2136717732","https://openalex.org/A2141450323",4
"187","https://openalex.org/A2140083886","https://openalex.org/A2310131763",4
"188","https://openalex.org/A2140083886","https://openalex.org/A2530885690",4
"189","https://openalex.org/A2142476155","https://openalex.org/A2165244083",4
"190","https://openalex.org/A2144033837","https://openalex.org/A2809846773",4
"191","https://openalex.org/A2144800361","https://openalex.org/A2479126898",4
"192","https://openalex.org/A2144800361","https://openalex.org/A2498835007",4
"193","https://openalex.org/A2144800361","https://openalex.org/A2651538346",4
"194","https://openalex.org/A2144800361","https://openalex.org/A3024438825",4
"195","https://openalex.org/A2144800361","https://openalex.org/A308024061",4
"196","https://openalex.org/A2144800361","https://openalex.org/A3213035173",4
"197","https://openalex.org/A2149959337","https://openalex.org/A2155504495",4
"198","https://openalex.org/A2149959337","https://openalex.org/A2426000207",4
"199","https://openalex.org/A2149959337","https://openalex.org/A2658514251",4
"200","https://openalex.org/A2149959337","https://openalex.org/A2659810571",4
"201","https://openalex.org/A2149959337","https://openalex.org/A2720082273",4
"202","https://openalex.org/A2149959337","https://openalex.org/A2722547266",4
"203","https://openalex.org/A2149959337","https://openalex.org/A3022811396",4
"204","https://openalex.org/A2154769845","https://openalex.org/A2282081543",4
"205","https://openalex.org/A2155504495","https://openalex.org/A2426000207",4
"206","https://openalex.org/A2155504495","https://openalex.org/A2555859626",4
"207","https://openalex.org/A2155504495","https://openalex.org/A2658514251",4
"208","https://openalex.org/A2155504495","https://openalex.org/A2659810571",4
"209","https://openalex.org/A2155504495","https://openalex.org/A2720082273",4
"210","https://openalex.org/A2155504495","https://openalex.org/A2722547266",4
"211","https://openalex.org/A2155504495","https://openalex.org/A3022811396",4
"212","https://openalex.org/A2155516799","https://openalex.org/A2463101889",4
"213","https://openalex.org/A2157463246","https://openalex.org/A2314046167",4
"214","https://openalex.org/A2159966518","https://openalex.org/A2303155750",4
"215","https://openalex.org/A2166467730","https://openalex.org/A2650975055",4
"216","https://openalex.org/A2196539794","https://openalex.org/A2255979065",4
"217","https://openalex.org/A2198022894","https://openalex.org/A2711525677",4
"218","https://openalex.org/A2227174019","https://openalex.org/A2947385395",4
"219","https://openalex.org/A2236626766","https://openalex.org/A349232819",4
"220","https://openalex.org/A2240769649","https://openalex.org/A2507866814",4
"221","https://openalex.org/A2240769649","https://openalex.org/A2527342939",4
"222","https://openalex.org/A2251698711","https://openalex.org/A3017823715",4
"223","https://openalex.org/A2254714644","https://openalex.org/A3191213572",4
"224","https://openalex.org/A2285009738","https://openalex.org/A2906443231",4
"225","https://openalex.org/A2309449423","https://openalex.org/A349232819",4
"226","https://openalex.org/A2309625226","https://openalex.org/A2631453635",4
"227","https://openalex.org/A2309625226","https://openalex.org/A2688570141",4
"228","https://openalex.org/A2309625226","https://openalex.org/A3121746383",4
"229","https://openalex.org/A2312376544","https://openalex.org/A2800738611",4
"230","https://openalex.org/A2314353657","https://openalex.org/A2557439771",4
"231","https://openalex.org/A2317904075","https://openalex.org/A2335772791",4
"232","https://openalex.org/A2426000207","https://openalex.org/A2555859626",4
"233","https://openalex.org/A2426000207","https://openalex.org/A2658514251",4
"234","https://openalex.org/A2426000207","https://openalex.org/A2659810571",4
"235","https://openalex.org/A2426000207","https://openalex.org/A2720082273",4
"236","https://openalex.org/A2426000207","https://openalex.org/A2722547266",4
"237","https://openalex.org/A2426000207","https://openalex.org/A3022811396",4
"238","https://openalex.org/A2429445430","https://openalex.org/A2903295015",4
"239","https://openalex.org/A2437087323","https://openalex.org/A2615202661",4
"240","https://openalex.org/A2443150073","https://openalex.org/A2608993936",4
"241","https://openalex.org/A245494923","https://openalex.org/A349232819",4
"242","https://openalex.org/A2479126898","https://openalex.org/A2498835007",4
"243","https://openalex.org/A2479126898","https://openalex.org/A2651538346",4
"244","https://openalex.org/A2479126898","https://openalex.org/A3024438825",4
"245","https://openalex.org/A2479126898","https://openalex.org/A308024061",4
"246","https://openalex.org/A2479126898","https://openalex.org/A3213035173",4
"247","https://openalex.org/A2481572596","https://openalex.org/A2507375572",4
"248","https://openalex.org/A2481572596","https://openalex.org/A2572142811",4
"249","https://openalex.org/A2481572596","https://openalex.org/A2573600792",4
"250","https://openalex.org/A2481572596","https://openalex.org/A2573854636",4
"251","https://openalex.org/A2481572596","https://openalex.org/A2574457369",4
"252","https://openalex.org/A2481572596","https://openalex.org/A2574999368",4
"253","https://openalex.org/A2481572596","https://openalex.org/A2575561235",4
"254","https://openalex.org/A2481572596","https://openalex.org/A2575931262",4
"255","https://openalex.org/A2481572596","https://openalex.org/A2577156896",4
"256","https://openalex.org/A2481572596","https://openalex.org/A2577644480",4
"257","https://openalex.org/A2481572596","https://openalex.org/A2577742959",4
"258","https://openalex.org/A2481572596","https://openalex.org/A2579409041",4
"259","https://openalex.org/A2497369243","https://openalex.org/A2947052367",4
"260","https://openalex.org/A2498835007","https://openalex.org/A2651538346",4
"261","https://openalex.org/A2498835007","https://openalex.org/A3024438825",4
"262","https://openalex.org/A2498835007","https://openalex.org/A308024061",4
"263","https://openalex.org/A2498835007","https://openalex.org/A3213035173",4
"264","https://openalex.org/A2507375572","https://openalex.org/A2572142811",4
"265","https://openalex.org/A2507375572","https://openalex.org/A2573600792",4
"266","https://openalex.org/A2507375572","https://openalex.org/A2573854636",4
"267","https://openalex.org/A2507375572","https://openalex.org/A2574457369",4
"268","https://openalex.org/A2507375572","https://openalex.org/A2574999368",4
"269","https://openalex.org/A2507375572","https://openalex.org/A2575561235",4
"270","https://openalex.org/A2507375572","https://openalex.org/A2575931262",4
"271","https://openalex.org/A2507375572","https://openalex.org/A2577156896",4
"272","https://openalex.org/A2507375572","https://openalex.org/A2577644480",4
"273","https://openalex.org/A2507375572","https://openalex.org/A2577742959",4
"274","https://openalex.org/A2507375572","https://openalex.org/A2579409041",4
"275","https://openalex.org/A2507866814","https://openalex.org/A2527342939",4
"276","https://openalex.org/A2534835728","https://openalex.org/A2535043261",4
"277","https://openalex.org/A2534835728","https://openalex.org/A2535088116",4
"278","https://openalex.org/A2535043261","https://openalex.org/A2535088116",4
"279","https://openalex.org/A2555859626","https://openalex.org/A2658514251",4
"280","https://openalex.org/A2555859626","https://openalex.org/A2659810571",4
"281","https://openalex.org/A2555859626","https://openalex.org/A2720082273",4
"282","https://openalex.org/A2555859626","https://openalex.org/A2722547266",4
"283","https://openalex.org/A2555859626","https://openalex.org/A3022811396",4
"284","https://openalex.org/A2557309394","https://openalex.org/A2908590072",4
"285","https://openalex.org/A2557515133","https://openalex.org/A2659922693",4
"286","https://openalex.org/A2568524805","https://openalex.org/A2678486898",4
"287","https://openalex.org/A2570318385","https://openalex.org/A720780107",4
"288","https://openalex.org/A2572142811","https://openalex.org/A2573600792",4
"289","https://openalex.org/A2572142811","https://openalex.org/A2573854636",4
"290","https://openalex.org/A2572142811","https://openalex.org/A2574457369",4
"291","https://openalex.org/A2572142811","https://openalex.org/A2574999368",4
"292","https://openalex.org/A2572142811","https://openalex.org/A2575561235",4
"293","https://openalex.org/A2572142811","https://openalex.org/A2575931262",4
"294","https://openalex.org/A2572142811","https://openalex.org/A2577156896",4
"295","https://openalex.org/A2572142811","https://openalex.org/A2577644480",4
"296","https://openalex.org/A2572142811","https://openalex.org/A2577742959",4
"297","https://openalex.org/A2572142811","https://openalex.org/A2579409041",4
