X.2,X.1,item,id,display_name,ror,country_code,type,X,group
117,327,https://openalex.org/W3046635050,https://openalex.org/I149899117,Max Planck Society,https://ror.org/01hhn8329,DE,nonprofit,NA,NA
118,328,https://openalex.org/W3046635050,https://openalex.org/I185261750,University of Toronto,https://ror.org/03dbr7087,CA,education,NA,NA
119,344,https://openalex.org/W3011969929,https://openalex.org/I135140700,University of Bonn,https://ror.org/041nas322,DE,education,NA,NA
120,358,https://openalex.org/W2996715260,https://openalex.org/I54009628,University of Bayreuth,https://ror.org/0234wmv40,DE,education,NA,NA
121,384,https://openalex.org/W2974687291,NA,Universitas Muhammadiyah Ponorogo,NA,NA,NA,NA,NA
122,399,https://openalex.org/W2952022446,https://openalex.org/I32021983,Kiel University,https://ror.org/04v76ef78,DE,education,NA,NA
123,410,https://openalex.org/W2801362325,https://openalex.org/I205783295,Cornell University,https://ror.org/05bnh6r87,US,education,NA,NA
124,412,https://openalex.org/W2911512042,https://openalex.org/I149899117,Max Planck Society,https://ror.org/01hhn8329,DE,nonprofit,NA,NA
125,417,https://openalex.org/W2795711825,https://openalex.org/I168864056,Bilkent University,https://ror.org/02vh8a032,TR,education,NA,NA
126,425,https://openalex.org/W2807423285,https://openalex.org/I56007636,Keele University,https://ror.org/00340yn33,GB,education,NA,NA
127,426,https://openalex.org/W2807423285,https://openalex.org/I188760350,"National University of Ireland, Galway",https://ror.org/03bea9k73,IE,education,NA,NA
128,438,https://openalex.org/W2791905086,https://openalex.org/I154338468,University of Fribourg,https://ror.org/022fs9h90,CH,education,NA,NA
129,439,https://openalex.org/W2791905086,https://openalex.org/I170486558,Pompeu Fabra University,https://ror.org/04n0g0b29,ES,education,NA,NA
130,442,https://openalex.org/W3123278698,https://openalex.org/I224982915,Georgetown University Law Center,NA,US,NA,NA,NA
131,445,https://openalex.org/W2621059063,https://openalex.org/I161593684,Stockholm University,https://ror.org/05f0yaq80,SE,education,NA,NA
132,451,https://openalex.org/W2558752630,https://openalex.org/I161318765,"University of California, Los Angeles",https://ror.org/046rm7j60,US,education,NA,NA
133,454,https://openalex.org/W2767342731,https://openalex.org/I8961855,National Autonomous University of Mexico,https://ror.org/01tmp8f25,MX,education,NA,NA
134,460,https://openalex.org/W2760817963,NA,Universitas Padjajaran,NA,NA,NA,NA,NA
136,484,https://openalex.org/W3125041361,https://openalex.org/I165143802,University of Queensland,https://ror.org/00rqy9422,AU,education,NA,NA
137,491,https://openalex.org/W1643649083,https://openalex.org/I28407311,University of Manchester,https://ror.org/027m9bs27,GB,education,NA,NA
138,544,https://openalex.org/W3083395821,https://openalex.org/I124601658,University of Parma,https://ror.org/02k7wn190,IT,education,38,NA
139,596,https://openalex.org/W3197123694,https://openalex.org/I34250744,University of Łódź,https://ror.org/05cq64r17,PL,education,90,NA
