item,position,id,name
https://openalex.org/W2890066312,last,https://openalex.org/A2783137079,Emily Hartz
https://openalex.org/W2889740345,first,https://openalex.org/A2889996592,Orlando Scarcello
https://openalex.org/W2795766232,first,https://openalex.org/A2159966518,Dennis Patterson
https://openalex.org/W2890258117,first,https://openalex.org/A2599194942,Robert Alexy
https://openalex.org/W2800727751,first,https://openalex.org/A2528232832,Massimo La Torre
https://openalex.org/W2800507439,first,https://openalex.org/A2804052561,Philipp Gisbertz
https://openalex.org/W2886994561,first,https://openalex.org/A2885035745,Flávio Manuel Póvoa De Lima
https://openalex.org/W2800376573,first,https://openalex.org/A267518154,Ernest J. Weinrib
https://openalex.org/W2801512487,first,https://openalex.org/A372917247,Gerald J. Postema
https://openalex.org/W2556106974,first,https://openalex.org/A2629114568,Andrei Marmor
https://openalex.org/W2885057846,first,https://openalex.org/A2885359256,Michele Mangini
https://openalex.org/W2787132397,first,https://openalex.org/A2201576805,Matthew H. Kramer
https://openalex.org/W2793058966,first,https://openalex.org/A1513697390,Carla Faralli
https://openalex.org/W2794067389,first,https://openalex.org/A2772870933,Marc de Wilde
https://openalex.org/W2790319487,first,https://openalex.org/A2010287793,Ferdinando G. Menga
https://openalex.org/W2799397087,first,https://openalex.org/A1752873660,Giuseppe Zaccaria
https://openalex.org/W2789643285,first,https://openalex.org/A2791276100,Matthias Brinkmann
https://openalex.org/W2793148182,first,https://openalex.org/A2765755083,Robert Mullins
https://openalex.org/W3124248919,first,https://openalex.org/A1752873660,Giuseppe Zaccaria
https://openalex.org/W2796923462,first,https://openalex.org/A2765443157,Eric R. Boot
https://openalex.org/W2770965763,first,https://openalex.org/A318961921,Veronica Rodriguez-Blanco
https://openalex.org/W2770965763,last,https://openalex.org/A2167301175,Pilar Zambrano
https://openalex.org/W2779413299,first,https://openalex.org/A2534140101,Eulalia Borja Bedoya
https://openalex.org/W2779413299,middle,https://openalex.org/A2108990524,Daniela Barrera Machado
https://openalex.org/W2779413299,last,https://openalex.org/A2464489842,Alfonso Insuasty Rodríguez
https://openalex.org/W2783745311,first,https://openalex.org/A2784073044,Dayan López Bravo
https://openalex.org/W2784062496,first,https://openalex.org/A2104501741,Emmanuel Taub
https://openalex.org/W2782548222,first,https://openalex.org/A2783081581,Johanna Márquez Montoya
https://openalex.org/W2782548222,last,https://openalex.org/A2784044013,Isabel Cristina Vélez Restrepo
https://openalex.org/W2782312688,first,https://openalex.org/A2782512500,Yeny Alejandra Pino Franco
https://openalex.org/W2782840187,first,https://openalex.org/A2482661141,Mayda Soraya Marín Galeano
https://openalex.org/W2784377506,first,https://openalex.org/A2782171359,Diego Alejandro Muñoz Gaviria
https://openalex.org/W2782111742,first,https://openalex.org/A2781866091,Nancy Estela Grajales Montoya
https://openalex.org/W2782111742,middle,https://openalex.org/A2595415689,Hugo Nelson Castañeda Ruiz
https://openalex.org/W2782111742,middle,https://openalex.org/A2618514299,Ángela María Gómez Osorio
https://openalex.org/W2782111742,middle,https://openalex.org/A2781997265,Juan Pablo Jaramillo Rico
https://openalex.org/W2782111742,middle,https://openalex.org/A2781609953,Natalia Baena Robledo
https://openalex.org/W2782111742,last,https://openalex.org/A2781734432,Martha Lucía Correa Roldán
https://openalex.org/W2781838042,first,https://openalex.org/A2209810778,José Fernando Valencia Grajales
https://openalex.org/W2781838042,middle,https://openalex.org/A2781788885,Juan David Gelacio Panesso
https://openalex.org/W2781838042,last,https://openalex.org/A2781598536,Hernando Isaac Vanegas Zapata
https://openalex.org/W2783745311,first,https://openalex.org/A2784073044,Dayan López Bravo
https://openalex.org/W2782352079,first,https://openalex.org/A2781491647,Astrid Osorio Álvarez
https://openalex.org/W2784390367,first,https://openalex.org/A2621697300,Carlos Darío Patiño Gaviria
https://openalex.org/W2784390367,middle,https://openalex.org/A2529308198,Luisa Fernanda Duque Monsalve
https://openalex.org/W2784390367,last,https://openalex.org/A2784998307,Diego Alejandro Muñoz
https://openalex.org/W2783219670,first,https://openalex.org/A2782782263,Yolima Serna Mesa
https://openalex.org/W2783219670,middle,https://openalex.org/A2808096699,María Antonia Valencia
https://openalex.org/W2783219670,last,https://openalex.org/A2807782352,Luis Steven Rozonzew
https://openalex.org/W2781507527,first,https://openalex.org/A2781491821,Beatriz Elena Arias Vanegas
https://openalex.org/W2784479398,first,https://openalex.org/A2662050739,Fabián Alonso Pérez Ramírez
